,name,rating,ctype,hq,old,employees
100,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
101,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
102,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
103,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
104,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
105,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
106,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
107,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
108,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
109,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
110,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
111,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
112,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
113,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
114,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
115,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
116,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
117,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
118,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
