,batsman,batsman_runs
274,NJ Maddinson,20
275,NJ Rimmington,1
276,NL McCullum,26
277,NLTC Perera,424
278,NM Coulter-Nile,52
279,NS Naik,23
280,NV Ojha,1553
281,Niraj Patel,121
282,OA Shah,506
283,P Awana,5
284,P Dogra,127
285,P Kumar,340
286,P Negi,353
287,P Parameswaran,1
288,P Sahu,19
289,PA Patel,2322
290,PA Reddy,164
291,PC Valthaty,505
292,PD Collingwood,203
293,PJ Cummins,77
294,PJ Sangwan,24
295,PM Sarvesh Kumar,1
296,PP Chawla,515
297,PP Ojha,16
298,PR Shah,92
299,PSP Handscomb,6
300,PV Tambe,18
301,Pankaj Singh,7
302,Parvez Rasool,17
303,Q de Kock,726
304,R Ashwin,231
305,R Bhatia,342
306,R Bishnoi,19
307,R Dhawan,153
308,R Dravid,2174
309,R McLaren,159
310,R Ninan,3
311,R Rampaul,51
312,R Sathish,270
313,R Sharma,66
314,R Shukla,19
315,R Tewatia,35
316,R Vinay Kumar,304
317,RA Jadeja,1732
318,RA Tripathi,391
319,RD Chahar,3
320,RE Levi,83
321,RE van der Merwe,159
322,RG More,2
323,RG Sharma,4207
324,RJ Harris,117
325,RJ Peterson,32
326,RJ Quiney,103
327,RN ten Doeschate,326
328,RP Singh,52
329,RR Bhatkal,0
330,RR Pant,564
331,RR Powar,67
332,RR Raje,20
333,RR Rossouw,53
334,RR Sarwan,73
335,RS Bopara,531
336,RS Gavaskar,2
337,RS Sodhi,4
338,RT Ponting,91
339,RV Gomez,50
340,RV Uthappa,3778
341,Rashid Khan,11
342,S Anirudha,136
343,S Aravind,59
344,S Badree,13
345,S Badrinath,1441
346,S Chanderpaul,25
347,S Dhawan,3561
348,S Gopal,14
349,S Kaul,9
350,S Kaushik,0
351,S Ladda,0
352,S Nadeem,26
353,S Narwal,37
354,S Rana,91
355,S Randiv,2
356,S Sohal,368
357,S Sreesanth,34
358,S Sriram,31
359,S Tyagi,3
360,S Vidyut,145
361,SA Abbott,15
362,SA Asnodkar,423
363,SA Yadav,608
364,SB Bangar,49
365,SB Jakati,28
366,SB Joshi,6
367,SB Styris,131
368,SB Wagh,2
369,SC Ganguly,1349
370,SD Chitnis,99
371,SE Bond,1
372,SE Marsh,2489
373,SJ Srivastava,5
374,SK Raina,4548
375,SK Trivedi,42
376,SK Warne,198
377,SL Malinga,88
378,SM Harwood,9
379,SM Katich,241
380,SM Pollock,147
381,SMSM Senanayake,10
382,SN Khan,177
383,SN Thakur,7
384,SP Fleming,196
385,SP Goswami,241
386,SP Jackson,38
387,SP Narine,271
388,SPD Smith,1713
389,SR Tendulkar,2334
390,SR Watson,2628
391,SS Iyer,807
392,SS Shaikh,6
393,SS Tiwary,1276
